Sun Jun 26 15:28:08 2016

Number of Points = 20622
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.226261	2.847414	2.140738	0.001230	0.477013
0.245465	2.843494	2.145742	0.001226	0.477023
0.204959	2.855127	2.150747	0.001234	0.477013
0.227342	2.855631	2.155751	0.001230	0.477044
0.238697	2.850337	2.160755	0.001228	0.477039
-0.010685	2.944336	2.165760	0.001273	0.477055
0.125866	2.955740	2.170764	0.001248	0.477274
0.122728	3.039770	2.175768	0.001249	0.477574
0.234363	3.124971	2.180773	0.001228	0.478026
0.181182	3.263080	2.185777	0.001238	0.478456
0.325773	3.309864	2.190781	0.001212	0.478812
0.273104	3.453891	2.195786	0.001221	0.479263
0.284107	3.553429	2.200790	0.001219	0.479636
0.350782	3.632992	2.205794	0.001207	0.480009
0.373191	3.750721	2.210799	0.001203	0.480461
0.379603	3.855629	2.215803	0.001202	0.480846
0.406424	3.942014	2.220807	0.001197	0.481191
0.253149	4.083218	2.225812	0.001225	0.481500
0.369761	4.143659	2.230816	0.001204	0.481867
0.635608	4.184267	2.235820	0.001155	0.482354
0.637270	4.323131	2.240825	0.001154	0.482853
0.583873	4.462923	2.245829	0.001164	0.483284
0.590209	4.550478	2.250834	0.001163	0.483605
0.681267	4.641991	2.255838	0.001146	0.484049
0.662395	4.750063	2.260842	0.001150	0.484410
0.518206	4.885954	2.265847	0.001176	0.484710
0.803244	4.912005	2.270851	0.001124	0.485167
0.747230	5.050971	2.275855	0.001134	0.485590
0.956804	5.111046	2.280860	0.001096	0.486071
0.814942	5.264801	2.285864	0.001122	0.486436
0.830882	5.357676	2.290868	0.001119	0.486786
0.833252	5.462138	2.295873	0.001118	0.487159
0.906097	5.533790	2.300877	0.001105	0.487506
0.888571	5.649375	2.305881	0.001108	0.487893
0.979872	5.731705	2.310886	0.001091	0.488300
0.849741	5.890884	2.315890	0.001115	0.488698
1.085836	5.902807	2.320894	0.001072	0.489039
0.928140	6.088407	2.325899	0.001101	0.489494
0.831760	6.189773	2.330903	0.001119	0.489730
0.883366	6.248975	2.335907	0.001109	0.490004
0.955446	6.343481	2.340912	0.001096	0.490428
1.150181	6.419992	2.345916	0.001060	0.490943
1.141505	6.543978	2.350920	0.001062	0.491368
1.093439	6.668797	2.355925	0.001071	0.491746
1.083390	6.762336	2.360929	0.001073	0.492062
0.995477	6.878766	2.365934	0.001089	0.492359
1.094926	6.933845	2.370938	0.001070	0.492678
0.965117	7.081648	2.375942	0.001094	0.493032
0.949945	7.165884	2.380947	0.001097	0.493308
0.925668	7.265856	2.385951	0.001102	0.493628
1.118634	7.335151	2.390955	0.001066	0.494112
1.090545	7.450206	2.395960	0.001071	0.494479
0.981330	7.583373	2.400964	0.001091	0.494807
0.982051	7.667863	2.405968	0.001091	0.495102
1.159257	7.723496	2.410973	0.001059	0.495518
0.968695	7.891959	2.415977	0.001094	0.495867
0.941695	7.982748	2.420981	0.001099	0.496149
0.949747	8.064487	2.425986	0.001097	0.496444
0.964523	8.167000	2.430990	0.001095	0.496818
1.087494	8.229440	2.435994	0.001072	0.497189
1.218077	8.327690	2.440999	0.001048	0.497693
1.096210	8.474921	2.446003	0.001070	0.498052
0.934303	8.592017	2.451007	0.001100	0.498256
1.089316	8.643829	2.456012	0.001072	0.498628
1.058407	8.757462	2.461016	0.001077	0.498983
1.130098	8.851105	2.466020	0.001064	0.499396
